id,district,region_id
3,ADA WEST,7
7,ADENTA MUNICIPAL,7
253,AMA-ABLEKUMA SOUTH,7
25,AMA-ASHIEDU KETEKE,7
30,AMA-OKAIKOI SOUTH,7
38,ASHAIMAN,7
26,AYAWASO CENTRAL,7
27,AYAWASO EAST,7
271,AYAWASO NORTH,7
28,AYAWASO WEST,7
94,GA CENTRAL,7
95,GA EAST,7
251,GA NORTH,7
96,GA SOUTH,7
97,GA WEST,7
31,KORLE KLOTTEY,7
132,KPONE KATAMANSO,7
252,KROWOR,7
144,LA DADE KOTOPON,7
145,LA NKWANANANG MADINA,7
148,LEKZOKUKU,7
161,NINGO PRAMPRAM,7
29,OKAIKOI NORTH,7
191,SHAI OSUDOKU,7
216,TEMA WEST,7
244,TMA - TEMA CENTRAL,7
215,TMA - TEMA EAST,7
250,WEIJA GBAWE,7
246,BUNKPURUGU NYANKPANDURI,8
80,CHEREPONI,8
87,EAST MAMPRUSI,8
151,MAMPRUGU MOAGDURI,8
234,WEST MAMPRUSI,8
76,YUNYOO-NASUAN,8
101,GUSHIEGU,9
112,KARAGA,9
130,KPANDAI,9
136,KUMBUMGU,9
153,MION,9
247,NANTON,9
158,NANUMBA NORTH,9
159,NANUMBA SOUTH,9
177,SABOBA,9
178,SANERIGU,9
179,SAVELUGU,9
212,TATALE,9
207,TM-TAMALE CENTRAL,9
208,TM-TAMALE SOUTH,9
217,TOLON,9
235,YENDI,9
237,ZABZUGU,9
63,BIAKOYE,10
107,JASIKAN,10
111,KADJEBI,10
133,KRACHI EAST,10
134,KRACHI NCHUMURU,10
135,KRACHI WEST,10
164,NKWANTA NORTH,10
165,NKWANTA SOUTH,10
69,BOLE,11
78,CENTRAL GONJA,11
239,EAST GONJA,11
238,NORTH EAST GONJA,11
167,NORTH GONJA,11
180,SAWLA TUNA KALBA,11
233,WEST GONJA,11
57,BAWKU MUNICIPAL,12
58,BAWKU WEST,12
64,BINDURI,12
240,BOLGA EAST,12
70,BOLGATANGA MUNICIPAL,12
71,BONGO,12
74,BUILSA NORTH,12
75,BUILSA SOUTH,12
81,DAFFIAMA BUSSIE,13
98,GARU,12
113,KASSENA NANKANA EAST,12
114,KASSENA NANKANA WEST,12
155,NABDAM,12
176,PUSIGA,12
206,TALENSI,12
245,TEMPANE,12
108,JIRAPA,13
109,JOMORO,13
146,LAMBUSSIE-KARNI,13
147,LAWRA,13
156,NADOWLI-KALEO,13
157,NANDOM,13
193,SISSALA EAST,13
194,SISSALA WEST,13
224,WA EAST,13
225,WA MUNICIPAL,13
226,WA WEST,13
4,ADAKLU ANYIGBE,14
8,AFADZATO SOUTH,14
12,AGOTIME ZIOPE,14
17,AKATSI NORTH,14
18,AKATSI SOUTH,14
115,ANLOGA,14
79,CENTRAL TONGU,14
102,HO,14
103,HO WEST,14
104,HOHOE,14
249,KETA MUNICIPAL,14
116,KETU NORTH,14
117,KETU SOUTH,14
131,KPANDO MUNICIPAL,14
166,NORTH DAYI,14
168,NORTH TONGU,14
195,SOUTH DAYI,14
196,SOUTH TONGU,14
15,AHANTA WEST,15
92,ELLEMBELLE,15
198,KWESIMINTIM,15
154,MPOHOR,15
170,NZEMA EAST,15
174,PRESTEA/HUNI VALLEY,15
192,SHAMA,15
197,STMA-ESIKADO,15
199,STMA-SEKONDI,15
200,STMA-TAKORADI,15
211,TARKWA NSUAEM,15
227,WASSA AMENFI CENTRAL,15
228,WASSA AMENFI EAST,15
229,WASSA AMENFI WEST,15
230,WASSA EAST,15
34,AOWIN,16
61,BIA EAST,16
62,BIA WEST,16
68,BODI,16
110,JUABOSO,16
181,SEFWI AKONTOMBRA,16
182,SEFWI BIBIANI AHWIASO BEKWAI,16
183,SEFWI WIAWSO,16
201,SUAMAN,16
